id,date,region,address,location,floor,room,sold_price(HKD),actual_area(ft.),built_area(ft.),actual_price(HKD/ft.),built_price(HKD/ft.),source
975bdd21d456435ef4427d988d40734a,27/10/2024,田灣,南景花園,南景花園,low,E,10500,254.0,376.0,41.0,28.0,中原網頁
b2d825841a34360a10b0400a2fbabbe7,27/10/2024,土瓜灣,翔龍灣,2座,middle,B,17000,384.0,522.0,44.0,33.0,中原網頁
4922664937027a3df2071eec8f4117d8,27/10/2024,屯門新墟,玫瑰花園,玫瑰花園,middle,H,11800,421.0,548.0,28.0,22.0,中原網頁
8e3f2ad7cd532add98f929542c223129,27/10/2024,將軍澳,將軍澳中心,將軍澳豪庭(13座),middle,D,18500,465.0,623.0,40.0,30.0,中原網頁
d4d88e6463f91155335ad6cdeef1484e,26/10/2024,沙田,全輝中心,A座,low,3,12300,287.0,385.0,43.0,32.0,中原網頁
9a5b97257e4ba1f6b46c1ed577a33bd5,26/10/2024,奧運站,帝峰．皇殿,6座,low,D,16500,333.0,415.0,50.0,40.0,中原網頁
35ea2d29f99d9fa13c5225e0e6d065f7,26/10/2024,元朗市中心,偉發大廈,偉發大廈,low,G,10500,353.0,420.0,30.0,25.0,中原網頁
3c8a73cfeb8ef0132a19351e2dd21261,26/10/2024,沙田,偉華中心,2座,middle,C,15200,308.0,417.0,49.0,36.0,利嘉閣網頁
ad095d56c69d2078f2c66e0fa8bbace9,26/10/2024,馬鞍山,錦禧苑,錦歡閣(A座),middle,6,12000,401.0,515.0,30.0,23.0,中原網頁
ff279d4291e4cb61a13ad15abcfe5d82,26/10/2024,堅尼地城,聯基新樓,聯基新樓,low,12,16000,339.0,480.0,47.0,33.0,中原網頁
174c3dd76360475c800ad9f344259580,25/10/2024,將軍澳,將軍澳廣場,7座,middle,E,18500,459.0,625.0,40.0,30.0,中原網頁
10c5689402a9377e51997b968da9c6fb,25/10/2024,粉嶺,粉嶺名都,百利閣(2座),low,A,12800,399.0,533.0,32.0,24.0,中原網頁
f4af3b82497ef4247b647696a19b452f,25/10/2024,上水,彩蒲苑,彩顏閣(D座),low,11,11000,438.0,584.0,25.0,19.0,中原網頁
d0c9899b0602b9a0902f76d83fa3e14c,25/10/2024,西灣河,嘉亨灣,5座,middle,E,22000,494.0,689.0,45.0,32.0,中原網頁
ace653594104745d7f1800258de9e69c,25/10/2024,灣仔,嘉薈軒,嘉薈軒,middle,8,22000,438.0,585.0,50.0,38.0,中原網頁
bedf3c900a88cc93a0967601c63ea8b0,25/10/2024,調景嶺,都會駅,5座,low,E,18500,487.0,657.0,38.0,28.0,中原網頁
bb87d14749f56e193175f95c9cc5f6a9,25/10/2024,小西灣,藍灣半島,1座,middle,G,19000,455.0,650.0,42.0,29.0,利嘉閣網頁
da64d60d8f56942635363f6bc2c500be,25/10/2024,沙田,河畔花園,B座,middle,7,12800,242.0,368.0,53.0,35.0,中原網頁
13048b50947b2504f974f3dd2d601699,25/10/2024,兆康,兆康苑,兆俊閣(C座),low,6,11000,493.0,569.0,22.0,19.0,中原網頁
c8464759a1e399693bfbb36486ccf727,25/10/2024,西營盤,西園,永翠閣(1座),middle,A,17000,365.0,423.0,47.0,40.0,中原網頁
ac11a28260f86f5a311c40be53310943,25/10/2024,荃灣西,立坊,立坊,middle,1,12000,244.0,374.0,49.0,32.0,中原網頁
1a50d00cf21f9ca1f2faf031d098d0d5,25/10/2024,屯門南,新屯門中心,7座,middle,F,12000,455.0,547.0,26.0,22.0,中原網頁
d2a1ecd88dadd3b1a09d5b6c17df883d,25/10/2024,大角咀,港灣豪庭,9座,low,A,17000,347.0,499.0,49.0,34.0,中原網頁
a5d341eab107ad69cb4eb767fd90c8ba,24/10/2024,調景嶺,維景灣畔,10座,middle,B,20000,496.0,678.0,41.0,30.0,美聯網頁
ca3f8c18c97f70f81e7c92eb339a134b,24/10/2024,愉景新城,愉景新城,11座,middle,C,16800,493.0,610.0,35.0,28.0,美聯網頁
4aa050817fe57e358ca3af4d25bef08c,24/10/2024,屯門北,大興花園,08座,middle,C,11800,447.0,583.0,27.0,21.0,美聯網頁
9b524d3b703cc5449fb1dc083eae0b56,24/10/2024,綠楊,綠楊新邨,B座,low,3,15500,451.0,518.0,34.0,30.0,中原網頁
3b32fc0e82385a00926615faa195803e,24/10/2024,灣仔,嘉薈軒,嘉薈軒,middle,3,22000,439.0,585.0,50.0,38.0,中原網頁
114429c9256015debe024e2699a33294,24/10/2024,石塘咀,曉譽,曉譽,middle,C,20500,306.0,411.0,67.0,50.0,中原網頁
f6a7f16f8d6377a8d7e69c4e9be08d1b,23/10/2024,大角咀,港灣豪庭,01座,low,D,17000,338.0,504.0,51.0,34.0,美聯網頁
ffbeeafd491c6bd75acd7b5a3680f101,23/10/2024,大角咀,奧城．西岸,奧城．西岸,low,B,16500,263.0,360.0,63.0,46.0,利嘉閣網頁
070e54c0bb044f32eba90b51e8499952,23/10/2024,九龍站,凱旋門,映月閣(2A座),low,C,26000,419.0,602.0,62.0,43.0,利嘉閣網頁
16b318db7dfb7e0a9e417a0c421b098c,23/10/2024,灣仔,怡康大廈,怡康大廈,middle,B,15000,302.0,447.0,50.0,34.0,中原網頁
9e67b05cb249a08becba39c9f7ad62fe,23/10/2024,粉嶺,牽晴間,10座,low,H,13500,386.0,525.0,35.0,26.0,中原網頁
19e21bbe0dcdb5a45811a728b56b7d9a,23/10/2024,沙田,河畔花園,D座,middle,2,12000,269.0,385.0,45.0,31.0,中原網頁
af30513cd2cee169f979008e1a22e89c,22/10/2024,愉景新城,愉景新城,06座,middle,B,16000,485.0,610.0,33.0,27.0,美聯網頁
12439a00717836c98bab708a1e5ee7d7,22/10/2024,馬鞍山,新港城,N座,middle,3,12000,337.0,446.0,36.0,27.0,美聯網頁
1fb7310ad16abc453e535f4cce4c8899,22/10/2024,東涌市中心,藍天海岸,3座,low,G,15000,388.0,550.0,39.0,28.0,美聯網頁
d11afc8f5c7a527870458a8ef8171cbc,22/10/2024,九龍灣,淘大花園,J座,middle,6,15800,391.0,501.0,40.0,32.0,利嘉閣網頁
593b3dfeb2be2cd3ebc89710a9cdc9a9,22/10/2024,灣仔,星月閣,星月閣,low,B,14000,250.0,330.0,56.0,42.0,中原網頁
c965321f5799c421b8f0ef4e6df2ef31,22/10/2024,將軍澳,將軍澳廣場,1座,low,D,18500,414.0,569.0,45.0,33.0,中原網頁
2d0aec746b502e8d2a673e758576ff7c,22/10/2024,元朗站,Yoho Town,7座,low,F,14500,463.0,599.0,31.0,24.0,中原網頁
094e4591d20fc7cb0a21321e413af027,21/10/2024,大圍,美松苑,富松閣(A座),low,10,13800,401.0,516.0,34.0,27.0,中原網頁
1576896253edb73c21297abecd759a45,21/10/2024,西半山,Castle One By V,CastleOneByV,low,C,32000,408.0,559.0,78.0,57.0,中原網頁
f850cca0f0f33adc37586c4a18e78875,21/10/2024,將軍澳,將軍澳廣場,1座,middle,F,17000,429.0,589.0,40.0,29.0,中原網頁
b82c48f8be1e0bf1390c24ab2db6f6f3,21/10/2024,深井,浪翠園,8座,low,F,12000,412.0,544.0,29.0,22.0,中原網頁
74f17a3da9369dc2a7393c11cbd23b71,21/10/2024,寶琳,新都城,2座,middle,A,18000,470.0,644.0,38.0,28.0,中原網頁
b98fb34d3ebcbce2066d4a19e9d66e13,21/10/2024,東涌市中心,藍天海岸,3座,low,H,17000,490.0,645.0,35.0,26.0,中原網頁
1992f19ea5d5b369a4f2be3ec1294fbf,21/10/2024,上環,新成大廈,新成大廈,low,C,16000,367.0,476.0,44.0,34.0,中原網頁
850fb9807819300f5f495caec97b4084,21/10/2024,杏花邨,杏花邨,36座,middle,2,20000,499.0,598.0,40.0,33.0,中原網頁
57f20dd36fed29bb6d6591780091ebda,21/10/2024,元朗站,Yoho Town,6座,middle,A,16200,478.0,618.0,34.0,26.0,中原網頁
01abc12902b39bd7adbe73d52fa78451,21/10/2024,綠楊,綠楊新邨,S座,middle,8,15500,475.0,555.0,33.0,28.0,利嘉閣網頁
51e36ddb6439d53033042538b1dc302b,21/10/2024,置樂,嘉喜利大廈,嘉喜利大廈,middle,B,10300,316.0,414.0,33.0,25.0,利嘉閣網頁
6c552f5806458e45c7c8daa3b1cae7b9,21/10/2024,大圍,金禧花園,1座,low,F,14500,328.0,434.0,44.0,33.0,中原網頁
4e41409befd31499cd2c213f3ae5d8cb,21/10/2024,荃灣市中心,富麗花園,昌華閣,low,C,12000,313.0,412.0,38.0,29.0,中原網頁
6dc7fd3a6fee52f8fc73ea0ad5922a08,21/10/2024,坑口,新寶城,4座,low,E,17500,434.0,603.0,40.0,29.0,中原網頁
9b915e2d36c2dc9dca58d13635a453c4,21/10/2024,凹頭,尚悅,12座,low,B,12000,440.0,598.0,27.0,20.0,中原網頁
b0a16dc83107dc4de759203cadc4496d,20/10/2024,將軍澳,將軍澳中心,8座,low,D,17000,384.0,527.0,44.0,32.0,中原網頁
70d1f5ed980a518c34b80886d606361c,20/10/2024,馬鞍山,新港城,L座,middle,2,15500,363.0,491.0,43.0,32.0,中原網頁
179d7cb1873f3eaaf364c7ff75646ee7,20/10/2024,灣仔,尚翹峰,3座,middle,F,25000,484.0,641.0,52.0,39.0,中原網頁
a33b28e8a0f86ede85fc0c476a4563aa,20/10/2024,何文田,華欣閣,華欣閣,middle,C,16000,364.0,456.0,44.0,35.0,中原網頁
8ce4c2afc2f5b9603776ad66e0805f9a,20/10/2024,深灣,珍寶閣,珍寶閣,low,D,15000,413.0,494.0,36.0,30.0,中原網頁
02d674b5c5108d9ab62f138ac9694d24,20/10/2024,西半山,翰庭軒,翰庭軒,middle,A,20000,446.0,685.0,45.0,29.0,中原網頁
dbcd4035e0bbfb1cf24f3daf3f14f9c6,20/10/2024,鰂魚涌,南豐新邨,3座,middle,C,16000,391.0,474.0,41.0,34.0,中原網頁
8ec685ea2eda0eef27d3652d79fce2e8,20/10/2024,屯門北,康德花園,3座,middle,A,10300,415.0,546.0,25.0,19.0,中原網頁
3535b6babcc6720f701f39ec1507effc,20/10/2024,四小龍,昇悅居,2座,middle,A,19500,491.0,646.0,40.0,30.0,中原網頁
