id,date,region,address,location,floor,room,sold_price(HKD),actual_area(ft.),built_area(ft.),actual_price(HKD/ft.),built_price(HKD/ft.),source
3c592bc72b9e1ed47cf193eab79b0cc6,02/10/2024,青衣,青怡花園,6座,NA,A,14200,343,432,41,33,中原網頁
85b0057cf3d399c35d4e3a14a4fe7eae,02/10/2024,灣仔,尚翹峰,1座,NA,B,26500,478,628,55,42,中原網頁
8c6ad846ebf2eb5e69fc7c4cbb82c96a,02/10/2024,屏山,帝庭居,3座,NA,B,12500,548,711,23,18,利嘉閣網頁
75cdfb5a4f1cdf901f7086bad3f54e2d,02/10/2024,康城,峻瀅,2座,low,F,16800,498,657,34,26,利嘉閣網頁
105ac58059f398e7fa7eaa7e86af0538,02/10/2024,朗屏,映御,1座,NA,E,13800,433,NA,32,NA,利嘉閣網頁
6989e9af935ba41b24cd87645ddbc413,02/10/2024,太古城,太古城,怡山閣(16座),low,C,26000,685,779,38,33,中原網頁
24df3de661b264cada5d6bbe81354a18,02/10/2024,東涌市中心,海堤灣畔,2座,low,H,18500,562,766,33,24,中原網頁
58af30b917a10bc297902834e2e3fa80,02/10/2024,觀塘,凱滙,1座,middle,C,29990,765,NA,39,NA,中原網頁
4f046eae4028ce3c700b28435cc0520d,02/10/2024,大角咀,利奧坊．壹隅,1座,low,C,16500,272,NA,61,NA,中原網頁
7dca0f84d474534836b31fb67b49f643,02/10/2024,大埔半山,天鑽,16座,low,D,24000,761,NA,32,NA,中原網頁
d774b130da373a7ef29335397073b57f,02/10/2024,西半山,堅道111號,堅道111號111號,middle,NA,20000,666,NA,30,NA,中原網頁
5318bca85f6fe384f1a78bfb4fda448b,02/10/2024,啟德新區,維港1號,1A座,middle,F,18000,448,NA,40,NA,中原網頁
25181005739ac4c25fefa01748b055c3,02/10/2024,啟德新區,龍譽,1A座,middle,C,13600,245,NA,56,NA,利嘉閣網頁
9b8f83eb9ac11aec875ec4245b1a3935,02/10/2024,掃管笏,愛琴海岸,7座,middle,G,12500,490,653,26,19,中原網頁
9663597820265fe6ec2d42d99374bd0c,01/10/2024,大埔半山,Silicon Hill,漾景閣第5B座,NA,A3,16000,407,NA,39,NA,中原網頁
80c191939880b857de41e18fb082263a,01/10/2024,奧運站,君匯港,5座,middle,A,20600,482,625,43,33,中原網頁
714a7814b7c7040677155da8f1b29c42,01/10/2024,東涌市中心,東堤灣畔,6座,low,G,23000,766,1023,30,22,利嘉閣網頁
a5bf7dade0437f4dbbae0a211159503b,01/10/2024,大角咀,利奧坊．壹隅,2座,low,D,13500,208,NA,65,NA,利嘉閣網頁
2c05d8e9f58e79043313391dc3a3fa88,01/10/2024,將軍澳,天晉,3B座,low,C,30000,672,860,45,35,中原網頁
379afb16ec8cf20d4d552f2303f6b460,01/10/2024,元朗站,Yoho Town,6座,NA,A,13750,399,498,34,28,利嘉閣網頁
d3621b0904a61c9f8630d1c70223510a,01/10/2024,北角,海璇,5A座,middle,E,24000,369,NA,65,NA,利嘉閣網頁
4f2eda964da4716b09d7f52b2fb3c986,01/10/2024,香港仔,香港仔中心,港昌閣(G座),low,1,15000,451,554,33,27,中原網頁
f2ab546a0d257aabba1caf5352b75727,01/10/2024,大埔半山,天賦海灣,5座,low,A,49000,1522,2025,32,24,中原網頁
15bbf5dce300265fae6879fea2eb1b4b,01/10/2024,大埔半山,海日灣ii,10座,middle,K,25000,794,NA,31,NA,中原網頁
3e74024eb8e37aebbb0b0e590591e415,01/10/2024,將軍澳,The Parkside,2A座,middle,A,29000,694,NA,42,NA,利嘉閣網頁
b28497c80421bcd9ca2ba666a76914d6,01/10/2024,何文田,半山壹號,半山徑17號17號,low,NA,48000,1137,1491,42,32,中原網頁
45b21160d786af436ab643ce486bed43,01/10/2024,東涌市中心,映灣園,10座,low,E,18000,544,735,33,24,中原網頁
1c913aece85dd01a7e452bb6008f54e2,01/10/2024,黃埔,半島豪庭,3座,NA,F,24500,464,618,53,40,中原網頁
a9acc117bd90743e6d664b226dd6ef64,01/10/2024,坑口,安寧花園,4座,middle,A,19500,583,691,33,28,中原網頁
ed513ddbd72d215d5f5e1c732111c1b6,01/10/2024,九龍站,君臨天下,3座,NA,D,51000,1084,1425,47,36,利嘉閣網頁
6a4a708f936599108fc77c87c8ebec0c,01/10/2024,藍田,Koko Hills,6座,low,G,19500,475,NA,41,NA,中原網頁
ceee1863f495b4816d71c7890fff3e0d,01/10/2024,藍田,Koko Hills,6座,middle,E,19500,424,NA,46,NA,中原網頁
0925d46cf1112de716a8af10c14b9c4d,01/10/2024,又一村,又一居,15座,NA,F,26500,603,750,44,35,中原網頁
b68b73b36ccc243b2c7ba511e5339b70,01/10/2024,荃灣海濱,海濱花園,海明閣(11座),low,G,17000,580,698,29,24,中原網頁
