id,date,region,address,location,floor,room,sold_price(HKD),actual_area(ft.),built_area(ft.),actual_price(HKD/ft.),built_price(HKD/ft.),source
75cdfb5a4f1cdf901f7086bad3f54e2d,02/10/2024,康城,峻瀅,2座,low,F,16800,498.0,657.0,34.0,26.0,利嘉閣網頁
6989e9af935ba41b24cd87645ddbc413,02/10/2024,太古城,太古城,怡山閣(16座),low,C,26000,685.0,779.0,38.0,33.0,中原網頁
24df3de661b264cada5d6bbe81354a18,02/10/2024,東涌市中心,海堤灣畔,2座,low,H,18500,562.0,766.0,33.0,24.0,中原網頁
9b8f83eb9ac11aec875ec4245b1a3935,02/10/2024,掃管笏,愛琴海岸,7座,middle,G,12500,490.0,653.0,26.0,19.0,中原網頁
80c191939880b857de41e18fb082263a,01/10/2024,奧運站,君匯港,5座,middle,A,20600,482.0,625.0,43.0,33.0,中原網頁
714a7814b7c7040677155da8f1b29c42,01/10/2024,東涌市中心,東堤灣畔,6座,low,G,23000,766.0,1023.0,30.0,22.0,利嘉閣網頁
2c05d8e9f58e79043313391dc3a3fa88,01/10/2024,將軍澳,天晉,3B座,low,C,30000,672.0,860.0,45.0,35.0,中原網頁
4f2eda964da4716b09d7f52b2fb3c986,01/10/2024,香港仔,香港仔中心,港昌閣(G座),low,1,15000,451.0,554.0,33.0,27.0,中原網頁
f2ab546a0d257aabba1caf5352b75727,01/10/2024,大埔半山,天賦海灣,5座,low,A,49000,1522.0,2025.0,32.0,24.0,中原網頁
45b21160d786af436ab643ce486bed43,01/10/2024,東涌市中心,映灣園,10座,low,E,18000,544.0,735.0,33.0,24.0,中原網頁
a9acc117bd90743e6d664b226dd6ef64,01/10/2024,坑口,安寧花園,4座,middle,A,19500,583.0,691.0,33.0,28.0,中原網頁
b68b73b36ccc243b2c7ba511e5339b70,01/10/2024,荃灣海濱,海濱花園,海明閣(11座),low,G,17000,580.0,698.0,29.0,24.0,中原網頁
d0f27cc75f348e52a36ffc18b5a15c3a,01/10/2024,太和,榮明花園,榮明花園,middle,A,14000,475.0,689.0,29.0,20.0,中原網頁
9222acb6b66c66949aad9365e1246478,01/10/2024,銅鑼灣,yoo Residence,yooResidence,middle,B,22000,397.0,555.0,55.0,40.0,中原網頁
