id,date,region,address,location,floor,room,sold_price(HKD),actual_area(ft.),built_area(ft.),actual_price(HKD/ft.),built_price(HKD/ft.),source
01c6bc3783b99f8433deaa380c3c9a0a,12/11/2024,東涌市中心,東堤灣畔,1座,middle,G,19000,536.0,734.0,35.0,26.0,中原網頁
fe78369e8269cc1a8c2bb40cc28a1b92,12/11/2024,東涌市中心,藍天海岸,1座,low,C,21000,539.0,708.0,39.0,30.0,利嘉閣網頁
43bfb799c620502b78030bb7574398c8,12/11/2024,太古城,太古城,燕宮閣(20座),middle,H,33000,747.0,843.0,44.0,39.0,中原網頁
0acc769df052f46c0200bf8af4d89da1,12/11/2024,將軍澳,天晉,8座,middle,B,37000,870.0,1123.0,43.0,33.0,中原網頁
1f52a0041b1d0bfe61d665ec12033792,12/11/2024,太古城,太古城,寧安閣(27座),middle,G,23000,530.0,628.0,43.0,37.0,中原網頁
a1572b7101667f30ba44b0ac1bf952d7,12/11/2024,新蒲崗,譽．港灣,1B座,low,C,21500,543.0,703.0,40.0,31.0,中原網頁
b6b48b1f43875932829c68d5a0609e44,12/11/2024,大埔半山,天賦海灣,15座,middle,A,30800,1105.0,1430.0,28.0,22.0,中原網頁
5062c863d978222f48acc74e1e41d4ac,12/11/2024,奧運站,君匯港,6座,middle,E,21000,478.0,621.0,44.0,34.0,中原網頁
9180adc947a9492835330ebc1b711764,12/11/2024,馬鞍山,錦英苑,錦悅閣(G座),middle,1,12000,401.0,514.0,30.0,23.0,中原網頁
0ee621c55caecd56012e6b5a63afd079,12/11/2024,荃灣市中心,荃豐中心,荃豐中心,middle,D,16800,426.0,578.0,39.0,29.0,中原網頁
ecb993018a494f5ba34e9bcdde795439,12/11/2024,沙田,偉華中心,4座,middle,F,17500,358.0,483.0,49.0,36.0,中原網頁
56d6278d1a5bac75fbadff207a596c32,12/11/2024,青衣,盈翠半島,9座,middle,C,26500,677.0,852.0,39.0,31.0,中原網頁
