region,address,actual area(ft.),built area(ft.),actual price(HKD/ft.),built price(HKD/ft.),price per actual area,area ratio(ft.),sold price(HKD),prediction price(HKD)
彩虹,峻弦,497.0,642.0,38.0,30.0,38.23,1.29,19000,17572.7
荃灣西,爵悅庭,372.0,498.0,44.0,33.0,43.82,1.34,16300,15712.02
灣仔,嘉薈軒,591.0,814.0,51.0,37.0,50.76,1.38,30000,26268.9
青衣,海欣花園,471.0,630.0,33.0,25.0,32.91,1.34,15500,15840.79
銅鑼灣,海威大廈,932.0,1200.0,34.0,27.0,34.33,1.29,32000,29007.88
沙田,偉華中心,358.0,483.0,47.0,35.0,47.49,1.35,17000,15972.18
上環,帝后華庭,322.0,468.0,53.0,36.0,52.8,1.45,17000,16601.52
九龍灣,德福花園,538.0,603.0,34.0,31.0,34.39,1.12,18500,17433.56
堅尼地城,雅福台,344.0,564.0,50.0,31.0,50.29,1.64,17300,16624.95
寶琳,新都城,363.0,516.0,46.0,32.0,45.45,1.42,16500,15960.68
長沙灣,仁禮大廈,202.0,284.0,49.0,35.0,49.01,1.41,9900,12469.84
屯門新墟,偉景花園,519.0,649.0,26.0,21.0,26.2,1.25,13600,13135.88
北角,寶馬花園,470.0,677.0,40.0,28.0,40.0,1.44,18800,17612.1
海逸,海逸豪園,1102.0,1472.0,39.0,29.0,39.02,1.34,43000,37881.48
元朗市中心,好旺洋樓,271.0,413.0,30.0,20.0,30.26,1.52,8200,9127.81
又一村,又一居,737.0,915.0,42.0,34.0,42.06,1.24,31000,27029.21
盈暉,盈暉臺,441.0,620.0,41.0,29.0,40.82,1.41,18000,16888.0
屯門北,翠林花園,330.0,430.0,33.0,26.0,33.33,1.3,11000,9153.1
九龍灣,淘大花園,390.0,462.0,40.0,34.0,39.74,1.18,15500,15112.4
大埔市中心,新興花園,424.0,490.0,25.0,21.0,24.76,1.16,10500,9260.3
調景嶺,都會駅,894.0,1197.0,34.0,25.0,33.56,1.34,30000,27422.36
奧運站,維港灣,457.0,609.0,48.0,36.0,47.7,1.33,21800,20017.14
灣仔,聯發大廈,321.0,444.0,48.0,35.0,48.29,1.38,15500,15138.05
元朗站,Yoho Town,461.0,595.0,32.0,25.0,32.1,1.29,14800,13717.32
西半山,富景花園,597.0,703.0,45.0,38.0,45.23,1.18,27000,24165.08
玉桂山灣畔,深灣軒,515.0,664.0,44.0,34.0,44.27,1.29,22800,20526.65
東涌市中心,東堤灣畔,590.0,803.0,30.0,22.0,29.66,1.36,17500,17206.82
太古城,太古城,582.0,675.0,39.0,34.0,38.66,1.16,22500,20769.85
調景嶺,都會駅,503.0,674.0,37.0,28.0,37.38,1.34,18800,17935.35
屯門南,恆福花園,624.0,776.0,26.0,21.0,26.44,1.24,16500,16236.85
荃灣西,爵悅庭,474.0,648.0,36.0,26.0,35.86,1.37,17000,16840.48
荃景圍,荃景花園,381.0,481.0,34.0,27.0,34.12,1.26,13000,12072.21
青衣,青泰苑,554.0,712.0,32.0,25.0,32.13,1.29,17800,17737.37
柴灣,永利中心,260.0,368.0,40.0,29.0,40.38,1.42,10500,10446.2
九龍站,擎天半島,809.0,1076.0,43.0,33.0,43.26,1.33,35000,31048.03
上水,上水中心,342.0,460.0,32.0,24.0,32.16,1.35,11000,9358.7
大圍,景田苑,431.0,520.0,32.0,27.0,32.48,1.21,14000,12291.48
寶琳,新都城,420.0,584.0,39.0,28.0,39.29,1.39,16500,15748.77
康城,峻瀅,738.0,970.0,26.0,20.0,26.26,1.31,19380,18282.78
太古城,太古城,582.0,675.0,43.0,37.0,42.96,1.16,25000,22595.55
奧運站,海桃灣,502.0,681.0,42.0,31.0,41.83,1.36,21000,19261.15
跑馬地,比華利山,1057.0,1357.0,44.0,35.0,44.47,1.28,47000,41921.37
奧運站,凱帆軒,464.0,625.0,42.0,31.0,42.03,1.35,19500,17886.27
海怡,海怡半島,527.0,641.0,35.0,29.0,34.54,1.22,18200,17235.74
天水圍,嘉湖山莊,630.0,811.0,23.0,18.0,23.33,1.29,14700,14714.03
沙田第一城,沙田第一城,478.0,605.0,38.0,30.0,37.66,1.27,18000,16917.42
鑽石山,星河明居,593.0,751.0,40.0,32.0,40.47,1.27,24000,22037.4
天水圍,嘉湖山莊,633.0,814.0,24.0,18.0,23.7,1.29,15000,15057.2
何文田,俊慧園,1905.0,2110.0,35.0,31.0,34.65,1.11,66000,63051.9
